Motivation,GT,HND,SLV
Job,40.67127345,38.99253731,41.0115448
Unemployment,14.90621915,16.85323383,13.08411215
Deterioration of livelihoods,0.987166831,2.300995025,2.089059923
Natural hazard,0.394866732,1.927860697,0.219901045
Loss of land,0.493583416,0.248756219,0
Lack of money for food,9.081934847,11.06965174,5.497526113
Lack of money for basic needs,15.59723593,9.328358209,11.98460693
To send remittances,8.588351431,7.338308458,9.895547004
For study,1.480750247,1.803482587,0.9895547
Domestic violence,0.197433366,0.062189055,0.109950522
Unsafety,0.493583416,2.052238806,3.353490929
Family reunification,2.270483712,2.176616915,4.123144585
For cultural reasons or custom,0,0.746268657,0.9895547
For health,0.394866732,0.684079602,0.659703134
Adventure Turism,2.86278381,2.611940299,4.727872457
Other,1.57946693,1.741293532,1.264431006
NS / NR,0,0.062189055,0